id,jurisdiction,court_area,procedure_stage,issue_name,already_completed_triggers,required_forms,optional_forms,not_needed_if_completed,missing_info_before_generation,form_purpose,generation_priority,user_facing_next_step,court_use_notes,official_source_name,official_source_url,notes,is_active,created_at,authority_source_id,authority_source_type,authority_citation,authority_pinpoint,authority_issuing_body,authority_checked_at,authority_review_status,authority_court_area,authority_topic,authority_stage_applicability,canonical_form_id,canonical_form_court_type,form_revision_or_effective_at,form_review_status,authority_bundle_version,applicability_conditions,applicability_questions
1,Ontario,family,starting,,"[""application filed""]","[""Form 8""]",[],"[""Form 8""]","[""full names"",""court location"",""claims"",""facts"",""orders requested""]",Start a family court case,high,You need to start your case by filing Form 8,"[""Application starts the case"",""Must clearly state claims and facts""]",,https://www.ontario.ca/laws/regulation/990114,,true,2026-04-28 20:55:53.176971+00,on-family-start-r8,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 8,Ontario e-Laws,2026-08-10,verified-for-workflow,family,start,"[""starting-case""]",82d885fe-4f0e-4e37-adce-6c1ff331f3f1,family,"Version: June 13, 2025; effective: Aug. 8, 2025",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""starting-case""},{""path"":""formApplicability.family.isGeneralApplication"",""equals"":true},{""path"":""formApplicability.family.isDivorceApplication"",""equals"":false}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this a general Family Application?"",""field_path"":""formApplicability.family.isGeneralApplication"",""value_type"":""boolean""},{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this a divorce application?"",""field_path"":""formApplicability.family.isDivorceApplication"",""value_type"":""boolean""}]"
2,Ontario,family,responding,,"[""answer filed""]","[""Form 10""]",[],"[""Form 10""]","[""response to claims"",""position on each issue""]",Respond to an application,high,You must respond to the application with Form 10,"[""Must address each claim"",""Failure to respond may lead to default""]",,https://www.ontario.ca/laws/regulation/990114,,true,2026-04-28 20:55:53.176971+00,on-family-respond-r10-01,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 10 (1),Ontario e-Laws,2026-08-10,verified-for-workflow,family,respond,"[""responding""]",4894de57-6511-45b1-a71a-967c884510f5,family,"Version: June 13, 2025; effective: Aug. 8, 2025",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""responding""},{""path"":""formApplicability.family.respondingToFamilyApplication"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Are you responding to a Family Application?"",""field_path"":""formApplicability.family.respondingToFamilyApplication"",""value_type"":""boolean""}]"
3,Ontario,family,conference,,[],"[""Form 17A""]",[],[],"[""issues"",""conference goals"",""summary of case""]",Prepare for case conference,high,Prepare and file your Case Conference Brief (Form 17A),"[""Used to guide judge at conference""]",,https://www.ontario.ca/laws/regulation/990114,,true,2026-04-28 20:55:53.176971+00,on-family-case-conference-r17-13,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 17 (13) 1,Ontario e-Laws,2026-08-10,verified-for-workflow,family,conference,"[""conference""]",b2b46bcf-97ae-42e4-9d01-4a962ea83a2a,family,"Version: Sept. 1, 2023; effective: Nov. 27, 2023",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""conference""},{""path"":""formApplicability.family.conferenceBriefType"",""equals"":""case-conference-brief-general""}]}","[{""choices"":[{""label"":""Case Conference Brief - General (Form 17A)"",""value"":""case-conference-brief-general""},{""label"":""Child protection or status-review case conference brief"",""value"":""child-protection-or-status-review""},{""label"":""Settlement conference brief"",""value"":""settlement-conference-brief""},{""label"":""Trial management conference brief"",""value"":""trial-management-conference-brief""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which Family Law Rules conference brief are you preparing?"",""field_path"":""formApplicability.family.conferenceBriefType"",""value_type"":""string"",""explanation"":""This does not decide conference requirements, deadlines, or filing readiness.""}]"
4,Ontario,family,motion,,[],"[""Form 14"",""Form 14A""]",[],[],"[""order requested"",""evidence""]",Request court order,high,File a motion with Form 14 and supporting affidavit,"[""Affidavit is required evidence""]",,https://www.ontario.ca/laws/regulation/990114,,true,2026-04-28 20:55:53.176971+00,on-family-motion-r14-09,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 14 (9),Ontario e-Laws,2026-08-10,verified-for-workflow,family,motion,"[""motion""]",e6fdaf6d-9aca-4193-853a-0fec07bc84c4,family,"Version: March 1, 2018; effective: July 1, 2018",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""motion""},{""path"":""formApplicability.family.motionDocumentSet"",""equals"":""notice-of-motion-and-general-affidavit""}]}","[{""choices"":[{""label"":""Notice of Motion (Form 14) and Affidavit (General) (Form 14A)"",""value"":""notice-of-motion-and-general-affidavit""},{""label"":""Procedural or uncomplicated/unopposed motion"",""value"":""procedural-or-unopposed-motion""},{""label"":""Without-notice or urgent motion"",""value"":""without-notice-or-urgent-motion""},{""label"":""Another motion document"",""value"":""another-motion-document""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which Family Law Rules motion document set are you preparing?"",""field_path"":""formApplicability.family.motionDocumentSet"",""value_type"":""string"",""explanation"":""This does not assess urgency, relief, evidence, deadlines, service, or filing readiness.""}]"
5,Ontario,family,conference,Child support,"[""financial statement filed""]","[""Form 13""]",[],"[""Form 13""]","[""income"",""expenses""]",Financial disclosure for support,high,You must provide financial disclosure (Form 13),"[""Required for support decisions""]",,https://www.ontario.ca/laws/regulation/990114,,true,2026-04-28 20:55:53.176971+00,on-family-financial-disclosure-r13-01-1,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 13 (1.1),Ontario e-Laws,2026-08-10,verified-for-workflow,family,financial-disclosure,"[""conference""]",bf8fb6c7-ad37-4f04-98fa-4638ec6f2c9b,family,"Version: May 1, 2021; effective: Sept. 1, 2021",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""conference""},{""path"":""formApplicability.family.financialStatementType"",""equals"":""support-claim-without-property-or-exclusive-possession""}]}","[{""choices"":[{""label"":""Support claim without a property claim or exclusive-possession claim"",""value"":""support-claim-without-property-or-exclusive-possession""},{""label"":""Property or exclusive-possession claim"",""value"":""property-or-exclusive-possession-claim""},{""label"":""Only table child support amount"",""value"":""child-support-table-amount-only""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which Family financial-statement situation applies to the document you are preparing?"",""field_path"":""formApplicability.family.financialStatementType"",""value_type"":""string"",""explanation"":""This does not decide whether a financial statement is required or filing-ready.""}]"
6,Ontario,small-claims,starting,,"[""claim filed""]","[""Plaintiff’s Claim""]",[],"[""Plaintiff’s Claim""]","[""amount"",""facts"",""defendant info""]",Start small claims case,high,You need to file a Plaintiff’s Claim,"[""Starts the lawsuit""]",,https://www.ontario.ca/laws/regulation/980258,,true,2026-04-28 20:55:53.176971+00,on-scc-start-r7-01,primary-procedural-rule,"O. Reg. 258/98, Rules of the Small Claims Court",r. 7.01,Ontario e-Laws,2026-08-10,verified-for-workflow,small-claims,start,"[""starting-case""]",a289d2a2-a691-45eb-a625-15c42c6da695,small-claims,"Version: Aug. 1, 2022; effective: Jan. 30, 2023",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""small-claims""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""starting-case""},{""path"":""formApplicability.smallClaims.eligibilityConfirmed"",""equals"":true},{""path"":""formApplicability.smallClaims.requestedRemedyType"",""oneOf"":[""ordinary-money-claim"",""ordinary-property-claim""]}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Have you confirmed this is an eligible Ontario Small Claims Court matter?"",""field_path"":""formApplicability.smallClaims.eligibilityConfirmed"",""value_type"":""boolean""},{""choices"":[{""label"":""Money claim"",""value"":""ordinary-money-claim""},{""label"":""Property claim"",""value"":""ordinary-property-claim""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""What ordinary claim are you starting?"",""field_path"":""formApplicability.smallClaims.requestedRemedyType"",""value_type"":""string""}]"
7,Ontario,small-claims,responding,,"[""defence filed""]","[""Defence""]",[],"[""Defence""]","[""response to claim"",""position""]",Respond to claim,high,You must file a Defence,"[""Failure leads to default judgment""]",,https://www.ontario.ca/laws/regulation/980258,,true,2026-04-28 20:55:53.176971+00,on-scc-respond-r9-01,primary-procedural-rule,"O. Reg. 258/98, Rules of the Small Claims Court",r. 9.01,Ontario e-Laws,2026-08-10,verified-for-workflow,small-claims,respond,"[""responding""]",b429d68c-e1d4-4eb0-b7a2-4a0069e173d6,small-claims,"Version: Aug. 1, 2022; effective: Jan. 30, 2023",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""small-claims""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""responding""},{""path"":""formApplicability.smallClaims.respondingToPlaintiffsClaim"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Are you responding to a Plaintiff’s Claim?"",""field_path"":""formApplicability.smallClaims.respondingToPlaintiffsClaim"",""value_type"":""boolean""}]"
8,Ontario,small-claims,conference,,[],"[""Settlement Conference Brief""]",[],[],"[""issues"",""settlement position""]",Prepare for conference,high,Prepare your settlement conference materials,"[""Used to resolve case early""]",,,,true,2026-04-28 20:55:53.176971+00,,,,,,,review-required,,,,,,,review-required,,,
9,Ontario,civil,starting,,"[""claim filed""]","[""Statement of Claim""]",[],"[""Statement of Claim""]","[""facts"",""legal basis"",""damages""]",Start civil case,high,You must prepare a Statement of Claim,"[""Must contain material facts""]",,https://www.ontario.ca/laws/regulation/900194,,true,2026-04-28 20:55:53.176971+00,on-civil-action-start-r14,primary-procedural-rule,"R.R.O. 1990, Reg. 194, Rules of Civil Procedure",r. 14,Ontario e-Laws,2026-08-10,verified-for-workflow,civil,action-start,"[""starting-case""]",1fead613-b24b-4797-b73c-0edfeb2af3d7,civil,"Version: June 9, 2014; effective: Jan. 1, 2015",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""civil""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""starting-case""},{""path"":""formApplicability.civil.isGeneralAction"",""equals"":true},{""path"":""formApplicability.civil.isApplication"",""equals"":false},{""path"":""formApplicability.civil.isMortgageForeclosure"",""equals"":false},{""path"":""formApplicability.civil.isCommencedByNoticeOfAction"",""equals"":false}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this a general civil action?"",""field_path"":""formApplicability.civil.isGeneralAction"",""value_type"":""boolean""},{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this an application?"",""field_path"":""formApplicability.civil.isApplication"",""value_type"":""boolean""},{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this a mortgage foreclosure case?"",""field_path"":""formApplicability.civil.isMortgageForeclosure"",""value_type"":""boolean""},{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Was this case started by Notice of Action?"",""field_path"":""formApplicability.civil.isCommencedByNoticeOfAction"",""value_type"":""boolean""}]"
10,Ontario,civil,motion,,[],"[""Notice of Motion""]",[],[],"[""order requested"",""evidence""]",Request court order,high,File a Notice of Motion with evidence,"[""Used for procedural or urgent relief""]",,https://www.ontario.ca/laws/regulation/900194,,true,2026-04-28 20:55:53.176971+00,on-civil-motion-r37-01,primary-procedural-rule,"R.R.O. 1990, Reg. 194, Rules of Civil Procedure",r. 37.01,Ontario e-Laws,2026-08-10,verified-for-workflow,civil,motion,"[""motion""]",1e9b6788-cb57-42d6-a732-fd8cef53d623,civil,"Version: Sept. 1, 2020; effective: Jan. 1, 2021",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""civil""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""motion""},{""path"":""formApplicability.civil.motionDocument"",""equals"":""notice-of-motion-form-37a""}]}","[{""choices"":[{""label"":""Notice of Motion (Form 37A)"",""value"":""notice-of-motion-form-37a""},{""label"":""Another motion document or circumstance where notice may be unnecessary"",""value"":""motion-document-not-form-37a""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which civil motion document are you preparing?"",""field_path"":""formApplicability.civil.motionDocument"",""value_type"":""string"",""explanation"":""This does not assess urgency, relief, evidence, deadlines, service, or filing readiness.""}]"
