canonical_form_id,court_type,form_number,official_title,procedure_stage,official_source_result,source_revision_status,required_structured_fact,user_facing_status,classification,reason
"b31eb92d-3e89-4b22-ab61-021d00301675","civil","","Actions","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"87bf3249-c9d4-4aa3-9c44-8b457617fae0","civil","","Appearance","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"e329b1fb-341a-4ff2-a77f-02eab963b7ec","civil","","Application","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"5d4d2fd0-ed5f-47f8-ba92-57e2e8144158","civil","","Backsheet","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"ade89fcc-0810-49d2-94d6-db807394458c","civil","","Claim","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"56b5528f-7662-489b-a20c-62eef666b7a0","civil","","Defence","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"782e2c60-3c19-4c95-9444-04e3ba0707af","civil","","Motion","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"8af64c4a-f57a-4750-a887-cc99578e1c19","civil","","Service","general","not researched in current official-source queue","not verified","","court-only","court-only-not-user-facing","Not present in the current court_form_clean_view; no user-facing purpose is inferred."
"e00e7f8a-c30c-4718-9881-1c2fd3876e3f","civil","Form 01A","1A Notice of Objection to Proposed Method of Attendance","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"f731648b-1770-4f56-a968-80a1bda6066e","civil","Form 04C","4C Backsheet","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"8e9ef184-e494-4846-98bd-bc61a04981fb","civil","Form 11A","Order to Continue (Transfer or Transmission of Interest)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"1fead613-b24b-4797-b73c-0edfeb2af3d7","civil","Form 14A","Statement of Claim (General)","starting-case","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"288eb910-b3c4-4389-8865-447d8006b3fc","civil","Form 14B","Statement of Claim (Mortgage Action - Foreclosure)","starting-case","verified-catalogue-source","June 9, 2014","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"6818851a-28d9-4fda-ba4f-5fde2ee0c4aa","civil","Form 14C","Notice of Action","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"2db1df05-7208-4335-9cde-827f55a3c596","civil","Form 14D","Statement of Claim (Action Commenced by Notice of Action)","starting-case","verified-catalogue-source","July 1, 2007","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"b0c7dac1-a753-44ca-a7a0-d0eaf0dd616f","civil","Form 14E","1 Notice of Application under Subsection 140(3) of the Courts of Justice Act","starting-case","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"fa7b803d-d4a4-4503-bc1e-6593cafe28dd","civil","Form 14E","Notice of Application","starting-case","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"f1074b10-5a1d-4b11-aae1-05751609eb63","civil","Form 14F","Information for Court Use","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"ab371767-13b9-446d-a292-dfd5b101c9f4","civil","Form 15A","Notice of Change of Lawyer","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
